country,region,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cameroon,North Africa,,,,,,,,,,,,,,,,,,,,,,166.85244400878662,168.93107217658297,165.61454436917688,168.62706749422233,170.01025941740573,180.0594260778377,189.2609223534603,193.09508223247457,204.20910533497317,223.39526441956468,228.9259467683183,320.1635210781651,374.1772906837586,367.18226705341317,370.3144885094694,320.40785097775,286.8097755034544,246.79855246196507,227.63055417843282,235.8836176375886,244.834524138897,250.19195133362723,242.1609868594602,244.89382403277264,199.7592571583424,197.85730607125933,200.89124113775284,222.06270550983982,251.5226496502714,271.6803043999357,263.87715322502595,262.8642434625806,284.74418532205476,305.4407813772849,324.9001475557249,320.837599134339,348.47021679095883,365.4722187902821,378.6837975992664,383.7941373855025,409.9867122585481,372.4042148405806,400.0267615158468,420.383175270758,422.2620594051869,433.4677366416234,471.75301827699604,486.882711417571,482.33327274343725,487.6084749540996,435.3871240914036,462.54603639917605,460.0094197334916,456.5690918880268,512.1739138366673
Cape Verde,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.851702654504072,11.173373874886037,11.568095493894104,11.233255208515834,10.973413557315899,,,,5.551627441459366,4.7707832313394105,5.890254156525228,9.228074501606303,6.426560369471851,6.424586906460381,7.136890853723115,7.996793093445694,12.88562492292584,8.75513744118852,7.963288631878909,8.394236263473932,8.677162377318268,9.470378198443171,8.787450163345591,8.772598129525624,10.397103708402275,8.478591148249206,8.542539482940452,9.225631455373074,9.713116101431593,9.335343074270835,9.58726734282476,10.169686441251768,11.793940253958265,10.601501253718867,11.40397065335778,10.795923441063852,12.221818840793292,11.497935181797624,10.949159295176514,14.353938320532245,16.518501717944265
Central African Republic,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.37469686609333,37.01999333007577,33.68287395464158,29.602835759110924,27.184483571276314,25.171370349961645,,,,,,27.86951586338324,31.377767541767632,29.286961764096297,28.97273859187289,,30.337611018418617,42.774670256254495,49.76488948155797,73.71325564206059,67.0981630909442,58.98834743245713,59.816613015187116,41.754234544962976,34.248368650841435,32.8865369684316,32.044800322902496,33.10373697738945,45.41835983781157,47.695340324573856,55.19768145455634,44.472364947037995,62.52702181344471,67.99343375594113
Chad,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.76999686737838,90.00492083410364,83.14788219965976,95.07182159231508,61.625266395336645,120.2021043198653,96.83243572350142,50.67320322748555,,50.68261349317521,65.70642008424774,51.373995721686185,38.2379991554606,43.61975707436577,31.55741703560544,29.644244413174164,43.766012028040606,49.670547689157246,55.804524156040685,66.03651056121177,66.9332589936453,79.33785177551883,80.61377018880067,297.24557838247335,522.3165161728673,695.2240088830043,805.7261952710152,719.2924184776386,664.9987842677915,,769.8619489490917,409.2579846543844,264.15916415711524,374.0807077722232,266.1636448381067,279.1824904246323,275.57083224706,356.3807709795991,354.90383141721946,378.0610922968071,372.7518557233594,531.2943162621683
"Congo, DR",North Africa,,,,,,,,,,,,,,,70.32798630953236,96.79986848670603,157.62382494306382,135.19949930808406,121.64788382744553,125.96044331187089,170.28047475851517,222.76758044440174,209.36745666857908,166.96925165911466,157.25906670577046,224.46015751992874,160.10785749772936,97.63456273851763,83.51431096932019,72.94154697142999,66.62444736051845,58.65685558182738,31.93978313539515,62.931278113354885,42.855368891970805,53.39806411062383,45.003196063102024,62.23846773352046,27.5554973661042,203.60005884568767,63.884005120089604,45.17627524234494,41.53497800318496,79.25787858553544,243.49669510598144,,,101.8523134030526,83.85163976612701,25.23931776221925,91.95759220201057,72.39971458578594,,,116.62633089410878,193.24825227357854,226.82113738440185,246.12740776861799,232.37932004661957,167.16876812041107,180.0862630940506,282.3389419702619,323.0614251826246,410.09913847965294,458.1951993268579,414.8204133223603,593.3104403732854,507.0257450797958,400.6184571566667,344.81311377013543,401.5866520526148,415.35627534674467,347.43447154441503,389.8964747568739,794.2445980722746,934.635978351288
"Congo, Republic",North Africa,,,,,,,,,,,,,,,,,,,,,,61.85776647622958,62.205624085594664,48.1274845292137,62.69496290110129,79.39513981260903,83.98430467950138,89.2748124811065,,73.90874421746294,89.27646387239736,90.5027131839195,127.8011237065744,170.300281293802,,144.3107000345171,161.39782651708344,,186.4080319226485,,,,,212.801818200232,189.09174486932443,,,,,,,,120.37302384109502,142.39512724593396,158.48844717520203,186.4167663506655,146.57909393765513,171.0612142077312,202.82690024488667,223.14683582199837,,247.53532095943078,,,371.1767286105594,706.8976913826165,,567.0973212420349,414.23061596221623,304.55695888479113,322.4534404162366,309.467130347483,307.68121183811377,285.1004970730779,284.9944296640487,174.99615104152153
Cote d'Ivoire,North Africa,,,,,,,,,,,,,,75.64794456123411,68.94002298435808,95.07706000469662,106.85018039254068,105.72987558561347,114.7441914058691,114.03218152588146,121.01622399823954,130.48003159744013,176.53215662765933,213.3161087133205,153.59852101161403,202.45318864340607,180.45197923787032,205.24663626825213,162.41290206956512,222.15266677260107,213.1349064086284,212.83075636888887,195.37590578131875,206.30265600728416,199.8053777537724,202.15916985857822,202.3052642657128,197.3465003752162,203.63354852025785,196.91179754617266,211.276286114671,201.82527126001247,205.93728109864026,201.61892200403517,200.12874553717415,176.0363984067018,,169.09118148858195,168.96866517410282,,,,,,319.2759799079072,336.80244294163214,322.49163143279793,333.83001166077406,363.4878429899453,364.1833042490476,432.8408101653119,413.9480857455571,346.4752677699739,422.08913359159334,420.06990886565245,507.3288019073826,655.064217699151,689.8614591909914,564.6170497538415,645.2907733817373,606.6123625973588,658.9254377606558,640.81295131535,651.755036678779,682.1771113492144,634.0816886411855
Djibouti,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.492897183655425,18.7886852772683,103.30143701919464,105.72134072428784,103.28574175321597,101.00816441747799,95.15869065882517,91.29008033515406,82.17929035376481,80.89828076139486,77.8945940606221,75.70534768353295,77.23424715501334,69.66742986121918,66.93972185173924,61.52931318541429,49.24068279076602,51.99721739275896,51.1668196716048,51.51585856473444,49.08259505338711,48.276438904427835,61.23894598842015,75.43206094241668,65.42564576663395,76.18105351485069,81.28010563574567,53.98167625939224,50.668692148374475,,,,,,,,,,,,,,,,
Equatorial Guinea,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.968299865521169,8.66012966842585,,,,,,,,,,,,260.73822628157706,340.9629448643676,436.29105511237117,,,,,162.67182858250706,157.7432500036329,158.19682276431254,152.10795651090262,156.35187348867433,161.43161049631493,165.31398265769877,159.9246594581277,165.25875117706983,162.19239415267498,108.75509688170538
Eritrea,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
